recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
30002,72177.1,72800.6,72483,72493.9,72467.3,72509.2,76513.4,68545.4,72465.3,72512.5,72459.6,72517.9,72431,72545.3,73222.2,71756.7,72489,72489,72845.4,72132.4,73320.6,71657,72942.9,72035.3,72489,72489,72489
30002,135067,136591,135821,135828,135807,135842,138062,133590,135805,135844,135801,135848,135780,135869,137350,134301,135824,135824,135910,135739,136023,135624,136439,135212,135824,135824,135824
30002,111003,111065,111030,111036,111018,111048,111618,110444,111017,111049,111014,111052,110995,111071,112475,109595,111033,111033,111213,110854,111452,110614,111467,110600,111033,111033,111033
30002,148251,148266,148256,148264,148241,148278,151295,145268,148239,148280,148234,148285,148209,148310,148926,147594,148260,148260,148280,148241,148305,148215,148873,147651,148260,148260,148260
30002,91869.4,92474,91861.8,91871,91847.8,91885.5,94852.9,88919.1,91845.1,91887.4,91840.1,91891.6,91815.1,91916.8,92954.1,91160.6,91866,91866,92097.1,91634.7,92405,91326,92380.9,91351.8,91866,91866,91866
30002,46027.6,47342.8,46681.4,46684.5,46680.1,46685.8,49991.1,43419.2,46679,46687.4,46677.3,46688.9,46669.3,46696.8,46114.4,47257.2,46683,46683,46553.5,46812.5,46380.8,46985.2,46660,46706,46683,46683,46683
30002,168053,167993,168020,168029,168004,168045,171013,165076,168001,168048,167996,168053,167969,168080,168907,167143,168025,168025,168081,167968,168156,167893,168618,167433,168025,168025,168025
30002,129718,130972,130337,130348,130321,130365,134115,126638,130318,130367,130313,130371,130285,130400,131493,129192,130343,130343,130557,130129,130841,129843,130847,129840,130343,130343,130343
30002,126124,128801,127449,127459,127431,127476,132130,122845,127429,127478,127423,127483,127394,127512,128821,126086,127454,127454,127661,127247,127937,126971,128005,126904,127454,127454,127454
30002,98602.1,98824.8,98710.4,98719.8,98695.4,98734.4,102047,95437,98693.4,98736.6,98688.5,98741.1,98662,98768,99436.7,97994.6,98715.2,98715.2,98901.2,98528.9,99149,98280.1,99364,98067.8,98715.2,98715.2,98715.2
30002,85329.6,87879.8,86591.1,86599.5,86576.6,86614.6,90030.9,83187.2,86573.9,86616.5,86570.2,86620.6,86546.4,86645.5,88155.6,85038.1,86595.8,86595.8,86889.6,86302,87281.1,85910.1,87066,86126,86595.8,86595.8,86595.8
30002,88861.1,90645.4,89744.5,89752,89729.9,89766,92348,87153.8,89728.3,89767.6,89724.2,89771.5,89701.2,89794.3,91268.3,88230.2,89748.2,89748.2,90013.3,89483,90366.5,89129.3,90245.3,89251.6,89748.2,89748.2,89748.2
30002,106086,106537,106236,106246,106220,106262,110014,103074,106217,106265,106212,106269,106184,106297,107056,105428,106241,106241,106445,106037,106717,105764,106884,105600,106241,106241,106241
30002,149140,149520,149327,149337,149310,149354,153061,145668,149307,149357,149301,149361,149272,149390,150179,148486,149332,149332,149434,149229,149571,149091,150008,148658,149332,149332,149332
30002,86256.3,88812.4,87522.3,87529.8,87508.5,87544.4,90928.3,84144.6,87507,87545.5,87502.5,87549.6,87480,87572.7,88971.2,86084,87526.5,87526.5,87763.1,87289.9,88078.4,86974.2,88009.3,87044.3,87526.5,87526.5,87526.5
30002,128292,129333,128807,128815,128793,128829,130503,127113,128791,128830,128787,128833,128764,128855,130421,127202,128811,128811,128964,128657,129167,128453,129382,128240,128811,128811,128811
30002,128229,128455,128275,128281,128261,128295,129214,127654,128260,128295,128256,128298,128236,128319,129881,126682,128278,128278,128432,128123,128638,127916,128828,127728,128278,128278,128278
30002,103514,104447,103974,103984,103956,104002,107426,100582,103953,104004,103948,104010,103918,104040,105302,102656,103979,103979,104325,103633,104786,103171,104553,103406,103979,103979,103979
