recordID,10y_down:base,10y_up:base,1y_down:base,1y_up:base,2y_down:base,2y_up:base,30y_down:base,30y_up:base,3y_down:base,3y_up:base,4y_down:base,4y_up:base,5y_down:base,5y_up:base,7y_down:base,7y_up:base,base:1_D,base:1_U,base:2_D,base:2_U,base:3_D,base:3_U,base:4_D,base:4_U,base:5_D,base:5_U,base:base
1,16842.9,16686.3,16762.1,16764.4,16759,16767.5,17696.1,15863,16758.2,16768.3,16757,16769.5,16751,16775.4,16733.5,16793,16763.3,16763.3,16763.3,16763.3,16763.3,16763.3,17014.9,16511.7,16763.3,16763.3,16763.3
2,-4779.82,-4822.21,-4804.13,-4802.32,-4806.51,-4799.95,-4009.1,-5563.55,-4807.13,-4799.35,-4808.1,-4798.43,-4812.73,-4793.81,-4826.28,-4780.28,-4700.56,-4905.24,-4764.49,-4841.93,-4706.59,-4899.26,-4748.56,-4857.82,-4731.74,-4874.55,-4803.22
170001,307683,310212,308928,308956,308893,308990,323534,294699,308883,309000,308868,309015,308798,309084,308594,309288,309734,308152,309470,308415,308942,308942,308942,308942,308942,308942,308942
170002,208125,207042,207573,207588,207554,207607,213308,201977,207549,207612,207541,207620,207503,207657,207393,207767,207866,207295,207581,207581,207720,207441,207726,207435,207581,207581,207581
140001,138389,135832,137098,137109,137078,137129,138793,135518,137075,137132,137068,137138,137030,137177,137995,136211,137587,136621,137448,136760,137402,136805,137341,136866,137436,136771,137104
140002,203036,204463,203732,203736,203705,203762,207722,199863,204765,202708,203950,203521,203610,203862,203466,204009,204627,202843,204315,203154,204318,203150,203953,203515,203802,203666,203734
30001,38015.5,37475.9,37738.4,37742.2,37732.8,37747.8,39282.8,36244.1,37731.5,37749.1,37727.4,37753,37714.8,37766.1,37668.5,37813.6,37867.9,37613.3,37823.1,37658.3,37831.2,37649.8,37858.2,37622.6,37740.3,37740.3,37740.3
30002,118257,119744,118982,118990,118967,119005,121849,116255,118964,119007,118960,119011,118933,119038,120398,117583,118986,118986,119158,118813,119388,118584,119566,118407,118986,118986,118986
110001,70114.3,71624.9,70860.1,70862.1,70851.2,70871,73225.4,68525,70850.1,70871.9,70847,70874.8,71129.8,70592,71370.3,70353.2,71115.5,70607.3,71206.1,70518.1,70992.9,70729.5,70983.7,70738.7,70861.1,70861.1,70861.1
110002,12168.4,12598.9,12380.1,12382,12377.8,12384.3,13636.8,11165.1,12377.1,12385,12376,12386,12369.9,12392.1,12352.8,12409.7,12414.7,12347.5,12411.7,12350.7,12415.4,12346.8,12430.1,12332.1,12387.1,12375.1,12381.1
160001,9139.47,8941.89,9032.7,9045.06,9030.42,9047.61,9741.65,8344.67,9028.35,9049.76,9024.1,9053.99,9013.19,9065.06,8979.56,9100.6,9032.23,9047.45,9016.04,9062.55,9040.38,9037.86,9044.66,9033.12,9063.27,9014.64,9038.84
160002,186080,181052,183562,183566,183546,183582,185223,181891,183549,183579,183545,183582,183527,183601,183474,183653,183564,183564,183564,183564,184958,182178,183564,183564,183564,183564,183564
70001,-2298.46,-2300.76,-2299.56,-2299.67,-2299.53,-2299.7,-2299.61,-2299.61,-2299.46,-2299.77,-2299.4,-2299.83,-2299.18,-2300.04,-2298.47,-2300.76,-2288.25,-2310.97,-2296.18,-2303.05,-2292.36,-2306.87,-2297.23,-2301.99,-2294.84,-2304.39,-2299.61
70002,-2598.11,-2852.47,-2725.33,-2726.36,-2725.8,-2725.9,-2579.66,-2870.3,-2724.78,-2726.94,-2723.86,-2727.88,-2721.75,-2729.96,-2713.74,-2737.85,-2437.65,-3009.52,-2725.85,-2725.85,-2725.85,-2725.85,-2725.85,-2725.85,-2725.85,-2725.85,-2725.85
120001,40140.3,39107.4,39624.7,39623.2,39622.2,39625.8,39981.5,39264,39625.1,39622.7,39628,39619.7,39635.5,39612.2,39671.6,39576.1,39783.2,39464.8,39794.9,39453.2,39727.2,39520.7,39644.3,39603.7,39644.3,39603.7,39624
120002,47611.1,46747.6,47179.9,47180.2,47176.3,47183.9,47940.8,46419.1,47177.7,47182.4,47178.5,47181.4,47178.7,47181.2,47186.6,47173.3,47408.7,46951.6,47223.9,47136.2,47282.4,47077.8,47180.1,47180.1,47180.1,47180.1,47180.1
130001,-1628.28,-1800.83,-1714.28,-1715.38,-1714.36,-1715.31,-1662.55,-1767.3,-1713.58,-1716.1,-1712.75,-1716.9,-1711.17,-1718.42,-1703.22,-1726.23,-1647.48,-1782.09,-1671.22,-1758.38,-1686.3,-1743.35,-1669.87,-1759.78,-1714.83,-1714.83,-1714.83
130002,-12274.9,-12254.3,-12264.5,-12264.7,-12264.4,-12264.8,-12278,-12251.1,-12264.3,-12264.9,-12264,-12265.1,-12263.1,-12266.1,-12259.2,-12269.9,-12216.8,-12312.2,-12247.9,-12281.3,-12228.1,-12301,-12249,-12280.2,-12261.2,-12268,-12264.6
100001,74825.9,73890.6,74369,74347.2,74373.8,74342.3,74446.5,74268.6,74387.1,74329,74403.2,74312.9,74469.8,74246.5,74570.4,74145.6,74620.1,74097.1,74358.1,74358.1,74490.7,74226.1,74521,74195.9,74598.5,74118.7,74358.1
100002,84225.7,84116.2,84186.7,84155.5,84213.2,84129.2,84171.1,84171.1,84233.1,84109,84232,84110.1,84277.1,84065,84386.2,83956,84373,83968.6,84313.3,84028.7,84300.8,84041.1,84242.4,84099.7,84250.1,84092,84171.1
90001,97797.9,95770.5,96777.3,96791.1,96758,96810.2,101448,92217.5,96753.5,96814.5,96746.2,96821.5,96709.9,96857.7,96603.7,96963.9,97279.7,96291.8,97157.8,96412.4,97127,96442.5,96982.4,96586.3,97068.1,96500.8,96784.2
90002,-1195.55,-766.238,-983.681,-980.448,-987.529,-976.617,835.132,-2672.12,-988.71,-975.481,-990.413,-973.844,-998.274,-966.006,-1021.27,-943.037,-699.528,-1263.5,-921.42,-1042.71,-918.885,-1045.24,-916.1,-1048.03,-963.152,-1000.98,-982.065
150001,518910,515858,517376,517411,517329,517458,530665,504246,517317,517469,517298,517487,517208,517576,516943,517841,517660,517127,517707,517080,517680,517106,517556,517231,517588,517198,517393
150002,1.27652e+06,1.26516e+06,1.27081e+06,1.27088e+06,1.2707e+06,1.27099e+06,1.29582e+06,1.2462e+06,1.27068e+06,1.27101e+06,1.27064e+06,1.27105e+06,1.27044e+06,1.27125e+06,1.26986e+06,1.27182e+06,1.27139e+06,1.27031e+06,1.27097e+06,1.27072e+06,1.27138e+06,1.27031e+06,1.27107e+06,1.27063e+06,1.27122e+06,1.27048e+06,1.27085e+06
180001,107284,111663,109440,109451,109425,109467,115456,103617,109420,109472,109414,109477,109382,109509,110739,108153,109931,108963,109551,109340,109547,109344,109530,109361,109677,109215,109446
180002,321314,323971,322628,322568,323264,321933,329466,315880,322501,322696,322479,322722,322395,322813,322976,322255,323611,321585,322929,322267,322692,322504,322949,322247,322692,322504,322598
20001,47640.2,44678.3,46153.9,46161.4,46141.9,46173.2,47310.7,44996.9,46139.8,46175.3,46135.7,46179.2,46114.5,46200.2,46052.4,46262.3,46613.7,45702.9,46262.9,46052.6,46443.3,45872.8,46208.5,46106.9,46546.4,45769.4,46157.7
20002,-4794.53,-4691.33,-4743.78,-4739.87,-4748.71,-4734.98,-2900.85,-6501.55,-4750.08,-4733.66,-4752.13,-4731.68,-4761.88,-4721.93,-4790.35,-4693.35,-4394.24,-5086.07,-4741.82,-4741.82,-4394.24,-5086.07,-4741.82,-4741.82,-4741.82,-4741.82,-4741.82
10001,439024,427548,433269,433291,433233,433327,434422,432123,433227,433333,433215,433344,433152,433407,432967,433591,433676,432884,433564,432997,433524,433037,433340,433220,433458,433102,433280
10002,605049,597777,601409,601449,601351,601507,613988,588869,601338,601519,601317,601540,601209,601647,600895,601961,602035,600824,601896,600963,601842,601017,601630,601228,601738,601121,601429
80001,67666.7,65194.4,66424.1,66433.2,66410.6,66446.6,68705.6,64148.8,66407.8,66449.3,66401.9,66455,66372.9,66484,66276.7,66582.8,66624.2,66233.2,66657.1,66200.5,66730,66128,66680.6,66176.9,66698.6,66158.8,66428.7
80002,189843,188796,189315,189326,189290,189351,190262,188374,189286,189355,189271,189370,189654,188988,191061,187584,190022,188623,189855,188788,189376,189265,189648,188993,189719,188923,189321
40001,73326.5,72769.2,73061.6,73034,73069.7,73025.7,73047.8,73047.8,73089.1,73006.4,73124.2,72971.3,73184.4,72911.1,73302.4,72792.9,73331.9,72763.5,73268.1,72827,73172.2,72923.1,73114,72981.5,73171.2,72924.2,73047.8
40002,148675,148117,148408,148383,148414,148377,148396,148396,148428,148363,148542,148250,148464,148327,148625,148166,148396,148396,148396,148396,148396,148396,148396,148396,148396,148396,148396
